codigo_alt,depto,anio,clas_gen,tipo_entidad,clasificacion_ofpuj,entidad,total_recaudo
23001,Córdoba,2024,Ingresos propios,Municipio,Sobretasa ambiental,Montería,9095214372
23001,Córdoba,2024,Ingresos propios,Municipio,Sobretasa ambiental,Montería,1321531657
23001,Córdoba,2024,Ingresos propios,Municipio,Impuesto predial unificado,Montería,60303050596
23001,Córdoba,2024,Ingresos propios,Municipio,Impuesto predial unificado,Montería,8935640732
23001,Córdoba,2024,Ingresos propios,Municipio,Sobretasa a la gasolina,Montería,24217583000
23001,Córdoba,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Montería,26244595534
23001,Córdoba,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Montería,1433259681
23001,Córdoba,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Montería,65575691033
23001,Córdoba,2024,Ingresos propios,Municipio,Impuesto complementario de avisos y tableros,Montería,7893252818
23001,Córdoba,2024,Ingresos propios,Municipio,Otros ingresos tributarios,Montería,442926115
23001,Córdoba,2024,Ingresos propios,Municipio,Impuesto de delineacion,Montería,1024040625
23001,Córdoba,2024,Ingresos propios,Municipio,Otros ingresos tributarios,Montería,1084673979
23001,Córdoba,2024,Ingresos propios,Municipio,Impuesto de alumbrado publico,Montería,67486643859
23001,Córdoba,2024,Ingresos propios,Municipio,Sobretasa bomberil,Montería,4653701523
23001,Córdoba,2024,Ingresos propios,Municipio,Otros ingresos tributarios,Montería,3803363248
23001,Córdoba,2024,Ingresos propios,Municipio,Otros ingresos tributarios,Montería,5926913297
23001,Córdoba,2024,Ingresos propios,Municipio,Otros ingresos tributarios,Montería,3677405915
23001,Córdoba,2024,Ingresos propios,Municipio,Tasa prodeporte y recreacion,Montería,2682688771
23001,Córdoba,2024,Ingresos propios,Municipio,Estampillas,Montería,5920725379
23001,Córdoba,2024,Ingresos propios,Municipio,Estampillas,Montería,3245104687
23001,Córdoba,2024,Ingresos propios,Municipio,Estampillas,Montería,514440751
23001,Córdoba,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Montería,120859317
23001,Córdoba,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Montería,6812195424
23001,Córdoba,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Montería,508205457
23001,Córdoba,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Montería,467626741
23001,Córdoba,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Montería,3294413112
23001,Córdoba,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Montería,6282995439
